lemma	domains	subdomains	definitions
κλινω	'[''Non-Linear Movement'', ''Linear Movement'', ''Time'', ''Aspect'', ''Stances and Events Related to Stances'', ''Physiological Processes and States'']'	'[''Leave, Depart, Flee, Escape, Send'', ''Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From'', ''Cease, Stop'', ''Prostrate as an Act of Reverence or Supplication'', ''Tire, Rest'']'	'[''to cause something to incline'', ''to cause to flee or run away from'', ''to extend in time, with focus upon the end point'', ''to begin to come to an end, with particular reference to the period of a day (a figurative meaning dependent upon the position of the sun)'', ''(an idiom, literally: to incline the face to the ground) to prostrate oneself before someone as an act of reverence, fear, or supplication'', ''(an idiom, literally: to lay down the head) to experience the rest which comes from sleep'']'
κλῖτος	'[''Spacial Positions'']'	'[''Elevated Land Formations'', ''The Earth''s Surface'']'	a sloping place or incline in geography
κνήμη	'[''Body, Body Parts, and Body Products'']'	'[''Parts of the Body'']'	the front part of the lower leg below the knee
κοιλάς	'[''Names of Persons and Places'']'	'[''Depressions and Holes'']'	a low, hollow area of land, often between hills
κοιλια	'[''Body, Body Parts, and Body Products'', ''Body, Body Parts, and Body Products'', ''Psychological Faculties'', ''Attitudes and Emotions'', ''Physiological Processes and States'']'	'[''Parts of the Body'', ''Parts of the Body'', ''Desire Strongly'', ''Birth, Procreation'']'	'[''the entire digestive apparatus, including stomach and intestines'', ''the uterus'', ''(figurative extension of meaning of {L:κοιλία<SDBG:κοιλία:000000>}[a] ‘belly,’ {D:8.67}) the psychological faculty of desire, intent, and feeling{N:001}'', ''desire for gratification of the body'', ''(an idiom, literally: the womb carries) to experience the process of pregnancy'']'
κοιμάω	'[''Physiological Processes and States'']'	'[''Sleep, Waking'']'	to lie down or sleep; also metaphorically, to die
κοιτάζομαι	'[''Physiological Processes and States'']'	'[''Sit'', ''Sleep, Waking'']'	to place oneself in a reclining or resting position
κοιτη	'[''Artifacts'', ''Physiological Processes and States'', ''Moral and Ethical Qualities and Related Behavior'', ''Physiological Processes and States'']'	'[''Furniture'', ''Sexual Relations'', ''Sexual Misbehavior'', ''Birth, Procreation'']'	'[''a piece of furniture used for sleeping'', ''(a figurative extension of meaning of {L:κοίτη<SDBG:κοίτη:000000>}[a] ‘bed,’ {D:6.108}) to have sexual relations'', ''to engage in immoral sexual excess{N:001}'', ''(an idiom, literally: to have bed, though in combination with ἔχω, κοίτη early acquired the metonymic meaning of sexual relations) to be in a state of pregnancy.'']'
κολλαω	'[''Association'', ''Attachment'', ''Quantity'']'	'[''Join, Begin To Associate'', ''Fasten, Stick To'', ''Increase, Decrease'']'	'[''to begin an association with someone, whether temporary or permanent{N:001}'', ''to stick or cling to something'', ''(an idiom, literally: to cling to heaven) to increase enormously the number of something, with the implication of reaching the attention of God'']'
κολπος	'[''Body, Body Parts, and Body Products'', ''Artifacts'', ''Geographical Objects and Features'', ''Geographical Objects and Features'']'	'[''Parts of the Body'', ''Cloth, Leather, and Objects Made of Such Materials'', ''Bodies of Water'', ''Regions Above the Earth'']'	'[''the region of the body extending from the breast to the legs, especially when a person is in a seated position'', ''the fold of a garment forming a type of pocket or container'', ''a part of the sea which is partially enclosed by land'', ''(an idiom, literally: Abraham’s bosom) the heavenly abode, with the implication of close interpersonal relations'']'
κομιζω	'[''Linear Movement'', ''Case'', ''Possess, Transfer, Exchange'', ''Possess, Transfer, Exchange'']'	'[''Carry, Bear'', ''To Cause To Experience'', ''Receive'', ''Receive'']'	'[''to carry or bring something to someone, usually implying a transfer'', ''to cause someone to experience something on the basis of what that person has already done'', ''to receive as a type of compensation'', ''to receive back something which one has previously possessed or its equivalent'']'
κοπαζω	'[''Aspect'']'	'[''Cease, Stop'']'	'[''to cease, in reference to some type of movement'']'
κοπετος	'[''Funerals and Burial'']'	'[''Laugh, Cry, Groan'', ''Sorrow, Regret'']'	'[''beating the breast and lamenting as an expression of sorrow{N:001}'']'
κοπιαω	'[''Perform, Do'', ''Physiological Processes and States'', ''Attitudes and Emotions'']'	'[''Work, Toil'', ''Tire, Rest'', ''Discouragement'']'	'[''to engage in hard work, implying difficulties and trouble'', ''to be tired or weary, as the result of hard or difficult endeavor'', ''(a figurative extension of meaning of {L:κοπιάω<SDBG:κοπιάω:000001>}[b] ‘to be tired,’ {D:23.78}) to become emotionally fatigued and discouraged'']'
κοπος	'[''Perform, Do'', ''Trouble, Hardship, Relief, Favorable Circumstances'']'	'[''Work, Toil'', ''Trouble, Hardship, Distress'']'	'[''act of engaging in hard work, implying difficulties and trouble'', ''a state characterized by troubling circumstances'']'
κοπρια	'[''Body, Body Parts, and Body Products'']'	'[''Physiological Products of the Body'']'	'[''(derivative of {L:κόπριον<SDBG:κόπριον:000000>} ‘manure,’ {D:8.76}) a pile or heap of manure'']'
κόπρος	'[''Natural Substances'']'	'[''Animals'']'	animal excrement used as fertilizer
κοραξ	'[''Animals'']'	'[''Birds'']'	'[''large black bird with thick strong beak, and fairly short legs; highly intelligent; Corvus family; crows and ravens belong to the same family of birds but differ in size, ravens being somewhat larger and being more inclined to feed on dead bodies.'']'
κορε	'[''Names of Persons and Places'']'	'[''Persons'']'	'[''the leader of a rebellion against Moses'']'
κόρη	'[''Body, Body Parts, and Body Products'']'	'[''Parts of the Body'']'	the central, dark part of the eye that lets in light
κορυφή	'[''Body, Body Parts, and Body Products'']'	'[''High, Low, Deep'']'	the highest part of something, such as the head or a mountain
κοφινος	'[''Artifacts'']'	'[''Containers'']'	'[''a relatively large basket used primarily for food or produce{N:001}'']'
κραζω	'[''Communication'']'	'[''Speak, Talk'']'	'[''to shout or cry out, with the possible implication of the unpleasant nature of the sound{N:001}'']'
κραιπαλάω	'[''Physiological Processes and States'']'	'[''Drunkenness'', ''Eat, Drink'']'	to suffer effects of drunkenness or excess
κραταιος	'[''Power, Force'']'	'[''Do, Perform'', ''Strong, Weak'']'	'[''(derivative of {L:κράτος<SDBG:κράτος:000000>}[a] ‘power,’ {D:76.6}) pertaining to being powerful or mighty'']'
κραταιότης	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Strong, Weak'', ''Conquer'']'	might, firmness, or powerful quality
κραταιοω	'[''Physiological Processes and States'', ''Power, Force'']'	'[''Health, Vigor, Strength'']'	'[''to become strong and healthy, with the implication of physical vigor'', ''(derivative of {L:κραταιός<SDBG:κραταιός:000000>} ‘powerful,’ {D:76.9}) to become strong psychologically'']'
κραταίωμα	'[''Geographical Objects and Features'', ''Constructions'']'	'[''Buildings'']'	a place of defense, often fortified
κραταίωσις	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Strong, Weak'', ''Conquer'']'	the act of being made strong or firm
κρατεω	'[''Attachment'', ''Control, Rule'', ''Control, Rule'', ''Be, Become, Exist, Happen'', ''Aspect'']'	'[''Grasp, Hold'', ''Control, Restrain'', ''Seize, Take into Custody'', ''State'', ''Complete, Finish, Succeed'']'	'[''to hold on to an object'', ''to exercise power or force over someone or something'', ''to take a person into custody for alleged illegal activity'', ''to cause a state to continue, on the basis of some authority or power'', ''to be able to complete or finish, presumably despite difficulties'']'
κρατος	'[''Power, Force'', ''Power, Force'']'	'[''Exercise Authority'', ''Rule, Govern'']'	'[''the power to rule or control'', ''a deed manifesting great power, with the implication of some supernatural force'']'
κραυγη	'[''Communication'', ''Attitudes and Emotions'']'	'[''Speak, Talk'', ''Laugh, Cry, Groan'']'	'[''the sound of a loud scream or shout'', ''to weep or wail, with emphasis upon the noise accompanying the weeping'']'
κρεας	'[''Foods and Condiments'']'	'[''Food'']'	'[''the flesh of animals used as food'']'
κρεῖσσον	'[''Comparison'']'	'[''To Choose, To Select, To Prefer'']'	that which is better or preferable
κρείσσων	'[''Comparison'']'	'[''To Distinguish, To Evaluate, To Judge'']'	better, stronger, or more excellent (comparative form)
κρεμαννυμι	'[''Attachment'', ''Violence, Harm, Destroy, Kill'', ''Attachment'', ''Relations'']'	'[''Fasten, Stick To'', ''Kill'', ''Fasten, Stick To'', ''Dependency'']'	'[''to cause to hang down from'', ''(an idiom, literally: to hang on a tree) to execute someone by nailing that person to a cross'', ''to hang down from some point'', ''to be in a relation of dependency upon something'']'
κριμα	'[''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Think'']'	'[''Judge, Condemn, Acquit'', ''Judge, Condemn, Acquit'', ''Judge, Condemn, Acquit'', ''Judge, Condemn, Acquit'', ''Lawsuit, Case'', ''To Distinguish, To Evaluate, To Judge'']'	'[''to decide a question of legal right or wrong, and thus determine the innocence or guilt of the accused and assign appropriate punishment or retribution{N:001}'', ''(derivative of {L:κρίνω<SDBG:κρίνω:000004>}[e] ‘to judge legal cases,’ {D:56.20}) the authority or right to judge guilt or innocence'', ''the legal decision rendered by a judge, whether for or against the accused'', ''to judge a person to be guilty and liable to punishment{N:002}'', ''legal action taken in a court of law against someone{N:003}'', ''(derivative of {L:κρίνω<SDBG:κρίνω:000002>}[c] ‘to judge,’ {D:30.108}) the content of the process of judging'']'
κρινω	'[''Think'', ''Think'', ''Think'', ''Hold a View, Believe, Trust'', ''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Control, Rule'']'	'[''To Decide, To Conclude'', ''To Choose, To Select, To Prefer'', ''To Distinguish, To Evaluate, To Judge'', ''Have an Opinion, Hold a View'', ''Judge, Condemn, Acquit'', ''Judge, Condemn, Acquit'', ''Rule, Govern'']'	'[''to come to a conclusion in the process of thinking and thus to be in a position to make a decision{N:001}'', ''to judge something to be better than something else, and hence, to prefer'', ''to make a judgment based upon the correctness or value of something{N:002}'', ''to hold a view or have an opinion with regard to something'', ''to decide a question of legal right or wrong, and thus determine the innocence or guilt of the accused and assign appropriate punishment or retribution{N:003}'', ''to judge a person to be guilty and liable to punishment{N:004}'', ''to rule over people'']'
κριός	'[''Animals'']'	'[''Animals'']'	a mature male sheep
κρισις	'[''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Courts and Legal Procedures'', ''Think'', ''Think'', ''Punish, Reward'', ''Courts and Legal Procedures'']'	'[''Judge, Condemn, Acquit'', ''Judge, Condemn, Acquit'', ''Court of Justice'', ''Judge, Condemn, Acquit'', ''Judge, Condemn, Acquit'', ''Judge, Condemn, Acquit'', ''To Distinguish, To Evaluate, To Judge'', ''To Distinguish, To Evaluate, To Judge'', ''Punish'', ''Judge, Condemn, Acquit'']'	'[''act of deciding a question of legal right or wrong, and thus determining the innocence or guilt of the accused and assigning appropriate punishment or retribution{N:001}'', ''(derivative of {L:κρίνω<SDBG:κρίνω:000004>}[e] ‘to judge legal cases,’ {D:56.20}) the authority or right to judge guilt or innocence'', ''a court of justice for determining guilt or innocence{N:002}'', ''the legal decision rendered by a judge, whether for or against the accused'', ''act of judging a person to be guilty and liable to punishment{N:004}'', ''the administration of justice'', ''(derivative of {L:κρίνω<SDBG:κρίνω:000002>}[c] ‘to judge,’ {D:30.108}) the content of the process of judging'', ''the basis for rendering a judgment'', ''punishment, with the implication of having been judged guilty'', ''(an idiom, literally: to fall under judgment) to be condemned for acting contrary to laws and regulations'']'
κριτης	'[''Courts and Legal Procedures'']'	'[''Judge, Condemn, Acquit'']'	'[''one who presides over a court session and pronounces judgment'']'
κροσσωτός	'[''Artifacts'']'	'[''Adornments'']'	adorned with fringes or tassels
κρόταφος	'[''Body, Body Parts, and Body Products'']'	'[''Parts of the Body'']'	the flat side of the forehead beside the eyes
κροτέω	'[''Physical Events and States'']'	'[''Sound'']'	to produce a sharp sound by striking, especially hands
κρυπτω	'[''Danger, Risk, Safe, Save'', ''Sensory Events and States'', ''Sensory Events and States'', ''Know'']'	'[''Safe, Free from Danger'', ''See'', ''See'', ''Not Able To Be Known, Secret'']'	'[''to cause to be safe or protected by hiding, in some contexts with the intent of not being found'', ''to cause something to be invisible, with the intent of its being not found'', ''to cause something to be invisible (in the sense of being hidden), but for the purpose of safekeeping and protection'', ''to cause something not to be known{N:001}'']'
κρυσταλλος	'[''Natural Substances'', ''Natural Substances'']'	'[''Precious and Semiprecious Stones and Substances'', ''Water'']'	'[''a very hard, translucent, and usually transparent type of quartz'', ''frozen water'']'
κρυφη	'[''Know'']'	'[''Not Able To Be Known, Secret'']'	'[''pertaining to not being able to be known by the public but known by some in-group or by those immediately involved'']'
κρύφιος	'[''Sensory Events and States'']'	'[''Not Able To Be Known, Secret'']'	not visible or known, concealed
κταομαι	'[''Possess, Transfer, Exchange'', ''Danger, Risk, Safe, Save'', ''Physiological Processes and States'']'	'[''Take, Obtain, Gain, Lose'', ''Cause To Be Safe, Free from Danger'', ''Sexual Relations'']'	'[''to acquire possession of something{N:001}'', ''(an idiom, literally: to acquire one’s soul, or: to acquire one’s life) to save oneself from grave danger or death'', ''(an idiom, literally: to possess a vessel) a euphemistic manner of referring to sexual relations'']'
κτηνος	'[''Animals'']'	'[''Animals'']'	'[''a larger type of domesticated animal, primarily one used for riding or carrying loads'']'
κτηνώδης	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Animals'', ''Violence'']'	having characteristics of a beast; lacking human refinement
κτῆσις	'[''Possess, Transfer, Exchange'']'	'[''Have, Possess, Property, Owner'']'	property owned; the act of obtaining possessions
κτιζω	'[''Perform, Do'']'	'[''Make, Create'']'	'[''to make or create something which has not existed before'']'
κυκλοθεν	'[''Spacial Positions'', ''Spacial Positions'']'	'[''Around, About, Outside'', ''Around, About, Outside'']'	'[''a position completely encircling an area or object'', ''a position on the total outside surface of a three-dimensional object'']'
κυκλοω	'[''Linear Movement'', ''Linear Movement'']'	'[''Go Around, Surround'', ''Go Around, Surround'']'	'[''to move around an object'', ''to move in such a way as to encircle an object{N:001}'']'
κυκλω	'[''Spacial Positions'']'	'[''Around, About, Outside'']'	'[''a position completely encircling an area or object'']'
κύκλωμα	'[''Artifacts'']'	'[''Shapes'']'	a circular object or form
κυμα	'[''Physical Events and States'']'	'[''Events Involving Liquids and Dry Masses'']'	'[''a moving ridge or succession of swells on the surface of a body of water'']'
κυμβαλον	'[''Artifacts'']'	'[''Musical Instruments'']'	'[''a percussion instrument consisting of two metal discs which were struck together in order to make a shrill, clashing sound'']'
κυνομυία	'[''Animals'']'	'[''Insects'']'	a fly species associated with dogs, known for biting
κυπτω	'[''Stances and Events Related to Stances'']'	'[''Bend Over, Straighten Up'']'	'[''to bend over into a stooping position'']'
κυρια	'[''Status'']'	'[''High Status or Rank [including persons of high status]'']'	'[''a title of respect used in addressing or speaking of a woman'']'
κυριευω	'[''Control, Rule'']'	'[''Rule, Govern'']'	'[''to rule or reign over, with the implication in some contexts of lording it over{N:001}'']'
κυριος	'[''Supernatural Beings and Powers'', ''Possess, Transfer, Exchange'', ''Control, Rule'', ''Status'', ''Status'']'	'[''Supernatural Beings'', ''Have, Possess, Property, Owner'', ''Rule, Govern'', ''High Status or Rank [including persons of high status]'', ''High Status or Rank [including persons of high status]'']'	'[''(a title for God and for Christ) one who exercises supernatural authority over mankind (see also {D:37.51})'', ''one who owns and controls property, including especially servants and slaves, with important supplementary semantic components of high status and respect'', ''one who rules or exercises authority over others'', ''a title of respect used in addressing or speaking of a man'', ''(an idiom, literally: to his own master he stands or falls, probably a familiar adage) whether one maintains one’s status or relationship to a master depends on the masters judgment or evaluation'']'
κύτος	'[''Physical Events and States'']'	'[''Depressions and Holes'']'	an empty space or hollow inside something
κυων	'[''Animals'', ''Moral and Ethical Qualities and Related Behavior'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Animals'', ''Bad, Evil, Harmful, Damaging'', ''Sexual Misbehavior'']'	'[''relatively small light brown domestic animal, feeding on anything from household refuse to animal carcasses and excreta; Canis familiaris putiatini; associated with all sorts of uncleanness, aggression, greediness, low status'', ''(a figurative extension of meaning of {L:κύων<SDBG:κύων:000000>}[a] ‘dog,’ {D:4.34}) a particularly bad person, perhaps specifically one who ridicules what is holy'', ''(a figurative extension of meaning of {L:κύων<SDBG:κύων:000000>}[a] ‘dog,’ {D:4.34}) one who is a sexual pervert or possibly one who is sexually promiscuous'']'
κωλυω	'[''Be, Become, Exist, Happen'']'	'[''Happen'']'	'[''to cause something not to happen{N:001}'']'
κωφ	'[''Speech and language'']'	'[''Written Language'']'	the Hebrew letter Qoph
κωφάω	'[''Sensory Events and States'']'	'[''Hear'']'	to lose the ability to hear, become deaf
κωφος	'[''Communication'', ''Sensory Events and States'']'	'[''Speak, Talk'', ''Hear'']'	'[''pertaining to not being able to speak or talk'', ''pertaining to being unable to hear'']'
λάβδ	'[''Speech and language'']'	'[''Written Language'']'	the Hebrew letter Lamed
λαθρα	'[''Know'']'	'[''Not Able To Be Known, Secret'']'	'[''pertaining to not being able to be known by the public but known by some in-group or by those immediately involved'']'
λαιαίνω	'[''Physical Events and States'']'	'[''Soft, Tender'', ''Touch, Feel'']'	to make smooth or glossy through rubbing
λάκκος	'[''Artifacts'']'	'[''Constructions for Holding Water'']'	a deep hole, often for water or as a trap
λαλεω	'[''Communication'', ''Communication'']'	'[''Speak, Talk'', ''Speak, Talk'']'	'[''to speak or talk, with the possible implication of more informal usage (though this cannot be clearly and consistently shown from NT contexts)'', ''(an idiom, literally: to speak to the ear) to speak quietly and presumably to a restricted audience'']'
λαλια	'[''Communication'', ''Communication'']'	'[''Speak, Talk'', ''Speak, Talk'']'	'[''(derivative of λαλέω ‘to speak,’ 33.70) that which has been spoken or uttered'', ''a particular manner of speech'']'
λαμβανω	'[''Attachment'', ''Possess, Transfer, Exchange'', ''Possess, Transfer, Exchange'', ''Possess, Transfer, Exchange'', ''Think'', ''Hold a View, Believe, Trust'', ''Moral and Ethical Qualities and Related Behavior'', ''Case'', ''Case'', ''Activities Involving Clothing and Adorning'', ''Case'', ''Control, Rule'', ''Attitudes and Emotions'', ''Moral and Ethical Qualities and Related Behavior'', ''Sensory Events and States'', ''Aspect'']'	'[''Grasp, Hold'', ''Take, Obtain, Gain, Lose'', ''Receive'', ''Take, Obtain, Gain, Lose'', ''To Choose, To Select, To Prefer'', ''Accept As True'', ''Exploit'', ''Experiencer'', ''To Cause To Experience'', ''Agent of a Numerable Event'', ''Rule, Govern'', ''Courage, Boldness'', ''Show Favoritism, Prejudice'', ''Pain, Suffering'', ''Try, Attempt'']'	'[''to take hold of something or someone, with or without force'', ''to acquire possession of something{N:001}'', ''to receive or accept an object or benefit for which the initiative rests with the giver, but the focus of attention in the transfer is upon the receiver{N:002}'', ''to collect what is due (normally in terms of taxes and interest), with the possible implication of extortion (as in {S:04200301300024})'', ''to make a choice of one or more possible alternatives'', ''to come to believe something and to act in accordance with such a belief'', ''(a figurative extension of meaning of {L:λαμβάνω<SDBG:λαμβάνω:000000>}[a] ‘to take hold,’ {D:18.1}) to take advantage of someone by trickery or deception'', ''to experience some event or state, often with the implication of something negatively valued{N:003}'', ''to cause to experience, normally implying something grievous'', ''to put on an article of clothing'', ''a marker of an agent relation with numerable events, with the implication of having assumed some initiative'', ''(an idiom, literally: to take a rule, to receive a rule) to receive from someone else the power or authority to reign as a king'', ''(an idiom, literally: to take courage) to become confident or courageous in the face of real or possible danger'', ''(an idiom, literally: to take face) to make unjust distinctions between people by treating one person better than another'', ''(a productive idiomatic expression, literally: to take one’s cross) to be prepared to endure severe suffering, even to the point of death'', ''to attempt to do something, with the implication of not succeeding{N:006}'']'
λαμπροτης	'[''Physical Events and States'']'	'[''Light'']'	'[''the state of brightness or shining'']'
λαξευτήριον	'[''Artifacts'']'	'[''Building Materials'']'	a tool for cutting stone or hard surfaces
λαος	'[''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Status'']'	'[''Socio-Political'', ''Socio-Religious'', ''General'', ''Low Status or Rank [including persons of low status]'']'	'[''the largest unit into which the people of the world are divided on the basis of their constituting a socio-political community'', ''a collective for people who belong to God (whether Jews or Christians)'', ''a casual non-membership group of people, fairly large in size and assembled for whatever purpose{N:001}'', ''the common people, in contrast with those who are rich, leaders, and/or authorities in the society, often with the implication of disdain and low esteem'']'
λαρυγξ	'[''Body, Body Parts, and Body Products'']'	'[''Parts of the Body'']'	'[''None'']'
λαχανον	'[''Plants'']'	'[''Plants That Are Not Trees'']'	'[''any one of the smaller plants cultivated in a garden, for example, herbs and vegetables'']'
λέβης	'[''Artifacts'']'	'[''Containers'']'	a large vessel used for cooking or boiling
λεγω	'[''Communication'', ''Communication'', ''Communication'', ''Communication'', ''Communication'', ''Hold a View, Believe, Trust'']'	'[''Speak, Talk'', ''Name'', ''Name'', ''Interpret, Mean, Explain'', ''Interpret, Mean, Explain'', ''Have an Opinion, Hold a View'']'	'[''to speak or talk, with apparent focus upon the content of what is said'', ''to speak of a person or object by means of a proper name'', ''to use an attribution in speaking of a person'', ''to mark the correspondence in the meaning of foreign expressions'', ''to say something in order to explain more fully the implications or intent of what has been said'', ''(an idiom, literally: to speak to oneself) to think about something without communicating the content to others'']'
λειτουργεω	'[''Help, Care For'', ''Religious Activities'']'	'[''Serve'', ''Religious Practice'']'	'[''to serve, with the implication of more formal or regular service'', ''to perform religious rites as part of one’s religious duties or as the result of one’s role{N:001}'']'
λειτουργος	'[''Help, Care For'']'	'[''Serve'']'	'[''(derivative of {L:λειτουργέω<SDBG:λειτουργέω:000000>}[a] ‘to serve,’ {D:35.22}) a person who renders special service{N:001}'']'
λείχω	'[''Physiological Processes and States'']'	'[''Parts of the Body'', ''Taste'']'	to touch or consume something with the tongue
λεπταίνω	'[''Physical Events and States'']'	'[''Large, Small'', ''Change of State'']'	to make thin, fine, or less thick
λευι	'[''Names of Persons and Places'', ''Names of Persons and Places'', ''Names of Persons and Places'', ''Names of Persons and Places'']'	'[''Persons'', ''Persons'', ''Persons'', ''Persons'']'	'[''a tax collector and one of the twelve apostles, generally regarded as being the same as Matthew, {D:93.244}'', ''a son of Jacob and ancestor of an Israelite tribe'', ''the son of Μελχί[a] in the genealogy of Jesus'', ''the son of Συμεών[e] in the genealogy of Jesus'']'
λευκαινω	'[''Features of Objects'']'	'[''Color'']'	'[''to cause something to become white'']'
λεων	'[''Animals'']'	'[''Animals'']'	'[''largest of the great cats, often about 2.8 m from nose to tip of tail, standing as high as 1 m at the shoulder; pale yellowish brown in color; adult males have a mane around the neck and shoulders that is darker than the rest of their fur; Panthera leo; unclean animal; associated with aggression and strength'']'
ληνος	'[''Constructions'']'	'[''Miscellaneous Constructions'']'	'[''an instrument for pressing out the juice of grapes for the making of wine'']'
λιαν	'[''Degree'']'	'[''Much, Little [Positive-Negative Degree]'']'	'[''generalized, positive degree'']'
λιβανος	'[''Artifacts'']'	'[''Perfumes and Incense'']'	'[''the aromatic resin of certain trees, burned for its pleasing aroma'']'
λιθος	'[''Natural Substances'', ''Natural Substances'', ''Natural Substances'']'	'[''Earth, Mud, Sand, Rock'', ''Earth, Mud, Sand, Rock'', ''Precious and Semiprecious Stones and Substances'']'	'[''stone as a substance{N:001}'', ''a piece of rock, whether shaped or natural'', ''valuable stones and hard substances, especially gems and jewels'', ''A large, heavy stone used to close the entrance to a cave or tomb cut out of the rock'', ''block of stone, either fully square or not; found in nature or hewn from a quarry; used for building houses, walls, and other constructions'']'
λιμην	'[''Geographical Objects and Features'']'	'[''Bodies of Water'']'	'[''a relatively small area of the sea which is well protected by land but deep enough for ships to enter and moor'']'
λιμνη	'[''Geographical Objects and Features'', ''Geographical Objects and Features'']'	'[''Bodies of Water'', ''Regions Below the Surface of the Earth'']'	'[''a relatively small body of water either natural or artificial, surrounded by land'', ''(an idiom, literally: lake of fire (and sulfur), occurring in some slightly different forms six times in Revelation, three times with the addition of θεῖον ‘sulfur’) a place of eternal punishment and destruction{N:001}'']'
λιμος	'[''Physiological Processes and States'', ''Physiological Processes and States'']'	'[''Eat, Drink'', ''Eat, Drink'']'	'[''a widespread lack of food over a considerable period of time and resulting in hunger for many people{N:001}'', ''the state of being very hungry, presumably for a considerable period of time and as the result of necessity rather than choice (compare {L:νηστεία<SDBG:νηστεία:000000>}[a] ‘fasting,’ {D:53.65})'']'
λιμώσσω	'[''Physiological Processes and States'']'	'[''Eat, Drink'', ''Need, Lack'']'	to suffer hunger or lack of food
λιπαίνω	'[''Physical Events and States'', ''Natural Substances'']'	'[''Care For, Take Care Of'', ''Plant Products'']'	to make rich or oily, often with oil or fat
λιτανεύω	'[''Communication'']'	'[''Ask For, Request'']'	to ask urgently, to make a humble request
λιψ	'[''Spacial Orientations'']'	'[''North, South, East, West'']'	'[''None'']'
λογιζομαι	'[''Think'', ''Memory and Recall'', ''Hold a View, Believe, Trust'', ''Possess, Transfer, Exchange'']'	'[''To Think, Thought'', ''Storing of Information'', ''Have an Opinion, Hold a View'', ''Keep Records'']'	'[''to think about something in a detailed and logical manner'', ''to keep a mental record of events for the sake of some future action'', ''to hold a view or have an opinion with regard to something'', ''to keep records of commercial accounts, involving both debits and credits'']'
λογιον	'[''Communication'']'	'[''Speak, Talk'']'	'[''the content of various utterances'']'
λογισμος	'[''Think'', ''Think'']'	'[''To Think, Thought'', ''To Think, Thought'']'	'[''to think about something in a detailed and logical manner'', ''fallacious and deceptive reasoning and, by implication, based on evil intentions'']'
λογος	'[''Communication'', ''Communication'', ''Communication'', ''Communication'', ''Communication'', ''Possess, Transfer, Exchange'', ''Relations'', ''Be, Become, Exist, Happen'', ''Think'', ''Courts and Legal Procedures'', ''Know'', ''Hold a View, Believe, Trust'']'	'[''Speak, Talk'', ''Speak, Talk'', ''Preach, Proclaim'', ''Written Language'', ''Speak, Talk'', ''Keep Records'', ''Cause and/or Reason'', ''Happen'', ''To Think, Thought'', ''Accusation'', ''Known [the content of knowledge]'', ''Have an Opinion, Hold a View'']'	'[''that which has been stated or said, with primary focus upon the content of the communication'', ''the act of speaking'', ''the content of what is preached about Christ or about the good news{N:001}'', ''a relatively formal and systematic treatment of a subject{N:002}'', ''a title for Jesus in the Gospel of John as a reference to the content of God’s revelation and as a verbal echo of the use of the verbs meaning ‘to speak’ in Genesis 1 and in many utterances of the prophets'', ''a record of assets and liabilities'', ''a reason, with the implication of some verbal formulation'', ''a happening to which one may refer'', ''that which is thought to be true but is not necessarily so'', ''a formal declaration of charges against someone in court'', ''(an idiom, literally: word runs) a message which becomes widely and rapidly known'', ''(an idiom, literally: to make of reason) to have an opinion based on some reason'']'
λοιμος	'[''Physiological Processes and States'', ''Trouble, Hardship, Relief, Favorable Circumstances'']'	'[''Sickness, Disease, Weakness'', ''Trouble, Hardship, Distress'']'	'[''a widespread contagious disease, often associated with divine retribution'', ''(a figurative extension of meaning of {L:λοιμός<SDBG:λοιμός:000000>}[a] plague, {D:23.158}) one who causes all sorts of trouble'']'
λουω	'[''Activities Involving Liquids or Masses'']'	'[''Use of Liquids'']'	'[''to wash the body'']'
λοχεύω	'[''Physiological Processes and States'']'	'[''Birth, Procreation'']'	to bring forth a child, to deliver a baby
λυμαίνομαι	'[''Physical Events and States'']'	'[''Destroy'', ''Harm, Wound'']'	to damage, harm, or ruin, especially with malice
λυπεω	'[''Attitudes and Emotions'', ''Attitudes and Emotions'']'	'[''Sorrow, Regret'', ''Sorrow, Regret'']'	'[''(derivative of {L:λύπη<SDBG:λύπη:000001>}[b] ‘state of sadness,’ {D:25.273}) to cause someone to be sad, sorrowful, or distressed'', ''to be sad as the result of what has happened or what one has done'']'
λυτροω	'[''Control, Rule'']'	'[''Release, Set Free'']'	'[''to release or set free, with the implied analogy to the process of freeing a slave{N:001}'']'
λυτρωσις	'[''Control, Rule'']'	'[''Release, Set Free'']'	'[''to release or set free, with the implied analogy to the process of freeing a slave{N:001}'']'
